170;CLEAN YOUR CLOSET S.A.S;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 7 No  2b-34 piso 2 C.C LA CALERA ;8600678
171;CLINICA COLSANITAS S.A.;CONSULTORIO MEDICO;86;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA;CALLE 8 No 2-16;8757733
172;CLINICA ODONTOLOGICA ORAL C;CONSULTORIO ODONTOLOGICO;86;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA;CLL 6 No. 5 -42 local 2;8757262
173;CLINIISANITAS  LA CALERA;CONSULTORIO MEDICO;86;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA;CALLE 100 No. 11 b - 67;6252111
174;CLUB CABALLISTA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 6 No 3-19 PISO 2;8601367
175;CLUB DE BILLARES ISABELA;BILLARES;93;ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;AVENIDA 2 No. 4 A - 08/14;8602215
176;COBASEC LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2 No 4-46;8600509
177;CODENSA S.A.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 4 No 6-35;8600206
178;COLEGIO  JOSE EUSTACIO RIVERA Y CIA LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CR 47 No. 95 - 24;7562007
179;COLEGIO DE CAMBRIDGE  LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CRA 13 A No. 93-66 BOGOTA;6015437
180;COLEGIO LA NUEVA ESPERANZA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VDA LA AURORA TIERRA ADENTRO ;8742201
181;COLEGIO TIERRA NUEVA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VDA LA AURORA;8742245
182;COLEGIO TILATA LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 10 No. 10-54;8602178
183;COLOMBIA TELECOMUNICACIONES S.A. ESP;TELECOMUNICACIONES;61;TELECOMUNICACIONES;VDA LA AURORA  FCA POTRERILLO;
184;COLOMBIA XTREMA SAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM 9 VIA LA CALERA;5921414
185;COLVISEG- COLOMBIANA DE VIGILANCIA Y SEGURIDAD LTDA;VIGILANCIA PRIVADA;80;ACTIVIDADES DE SEGURIDAD E INVESTIGACION PRIVADA;TRAV 60 No. 114A- 55 BOGOTA;5935399
186;COMBUSTIBLES LIQUIDOS DE COLOMBIA S.A E.S.P.;VENTA DE COMBUSTIBLE;47;COMERCIO AL POR MENOR;KILOMETRO 9  POSTE 127 VEREDA SALITRE ;8740323
187;COMCEL;TELECOMUNICACIONES;61;TELECOMUNICACIONES;TRAV 22 BIS No 59-61;5476838
188;COMERCIALIZADORA AGROPECUARIA HANNA S.A.;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;CLL 5 No. 2-40;3214903587
189;COMERCIALIZADORA IMPA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 8 No 1-45;8603973
190;COMERCIALIZADORA LADRILLERA SAN LUIS SAS;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;VDA STA HELENA FCA  EL ORION  ;8741820
191;COMERCIALIZADORA SFAS LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 13 No. 14 - 42;2829474
192;COMERCIO AL POR MAYOR DE ROPA DEPORTIVA;ALMACÉN DE ROPA;47;COMERCIO AL POR MENOR;KILOMETRO 8 No. VIA ZIPAQUIRA UBATE  VDR PATIO BONITO ;
193;COMPAÑÍA ASOCIADAS DE GAS SA ESP;VENTA DE COMBUSTIBLE;47;COMERCIO AL POR MENOR;CLL 51 No. 18-36 BOGOTA DC;3483246/2551419
194;COMPAÑÍA DE TRABAJOS URBANOS ;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;CARRERA 54 A No. 127 A - 85 CASA 75 BARRIO NIZA;8112539
195;COMUNICACIONES  V Y B ;TELECOMUNICACIONES;61;TELECOMUNICACIONES;AV 68 No. 5-21;2190330
196;COMUNICACIONES A. J;TELECOMUNICACIONES;61;TELECOMUNICACIONES;KM 4 VIA A LA MESA VDA BALSILLAS;5941444
197;COMUNICACIONES COMCEL;TELECOMUNICACIONES;61;TELECOMUNICACIONES;KM 17 200MT CARR CENTRAL DEL NORTE CR 7;6760720
198;COMUNICACIONES M Y M;TELECOMUNICACIONES;61;TELECOMUNICACIONES;C 8 No 2A-14;8600318
199;COMUNICACIONES REGIONALES DE COLOMBIA LTDA;TELECOMUNICACIONES;61;TELECOMUNICACIONES;K 5 No 5-98;8601280
200;CON SABOR;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;K 4 No 6-23;
201;CONECTAR INTERNET;TELECOMUNICACIONES;61;TELECOMUNICACIONES;AV 2 No. 8-24;8602796
202;CONFECCIONES MARIA ELENA;CONFECCION DE ROPA;14;CONFECCIÓN DE PRENDAS DE VESTIR;CLL 74 No. 10-80 OF, 710 INT. 1 BOGOTA D.C;3256950
203;CONINSA RAMON H.S.A;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;ALTO DE LA VIRGEN;
204;CONSORCIO CHINGAZA S.B.C.C. 2008 ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 4 No 7-21;8757030
205;CONSORCIO METROPOLITANO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 9 No 3-56;8602776
206;CONSTRUCCIONES OBRACAR LTDA;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;CLL 55 No. 45-55 MEDELLIN;945116199
207;CONSTRUCCIONES TEUSACA SA;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;CRA 15A No. 120-42 Of. 302;5922355
208;CONSTRUCTORA  EQUIA SAS;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;CARRERA 7 No. 108A-75 INTERIOR 2;4743232
209;CONSTRUCTORA EQUIA S.A.S.;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;CARRERA  8 C No. 183 - 72;5101469
210;CONSTRUCTORA TRAMONTANA SAS;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;K 13 A No. 98 08 BOGOTA DC;2363013
211;CONSTRUCTORA XUEVA LTADA;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;CALLE 118 No. 50 A 11 APTO 202;2279287
212;CONSULTORIA INTEGRAL  EN INGENIERIA S.A. DE C.V.;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;CALLE 118 No. 50 A 11 APTO 202;2279287
213;CONSULTORIO MEDICO;CONSULTORIO MEDICO;86;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA;CRA 50 No. 124-08 APTO 303 BOGOTA;7493496/3165765874
214;CONSULTORIO ODONTOLOGICO;CONSULTORIO ODONTOLOGICO;86;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA;CALLE 96 No. 13 - 31 of 202;2367348
215;CONSULTORIO ODONTOLOGICO;CONSULTORIO ODONTOLOGICO;86;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA;K 2B No 7-35 PISO 2;8602726
216;CONSULTORIO ODONTOLOGICO;CONSULTORIO ODONTOLOGICO;86;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA;AV, PASEO REAL No. 3 - 14;8757742
217;CONSULTORIO ODONTOLOGICO;CONSULTORIO ODONTOLOGICO;86;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA;C 10A No 2B-15;8601421
218;CONSULTORIO ODONTOLOGICO;CONSULTORIO ODONTOLOGICO;86;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA;K 3 No 8-38 piso 1;8602663
219;CONTELAC LTDA ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2 No 6-77;8601850
220;COOPERATIVA AGROPECUARIA  Y AGROINDUSTRIAL AGROLACTEOS;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;AV 2 No 5-04;8602300
221;"COOPERATIVA DE TRANSPORTE BUENOS AIRES ""COOTRANSBONAIRE""";TRANSPORTE DE PASAJEROS;49;"TRANSPORTE TERRESTRE; TRANSPORTE POR TUBERÍAS";K 3 No 8-52;8603998
222;COOPERATIVA DE VIGILANTES  STARPCOOP CTA;VIGILANCIA PRIVADA;80;ACTIVIDADES DE SEGURIDAD E INVESTIGACION PRIVADA;CALLE 89 N0. 21 - 08;2579891
223;COOPERATIVA MULTIACTIVA PAULO VI;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VEREDA POTRERO GRANDE ;8605424
224;CORATIENDAS 239A;SUPERMERCADO;47;COMERCIO AL POR MENOR;PLAZA DE MERCADO KIOSKO No. 1;8600470
225;CORPORACION COLEGIO TILATA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 96 No. 46-19 BOGOTA;
226;CORPORACION ECUESTRE TAMBRE;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2 No. 7-60;8601607
227;CORPORACION EDUCATIVA LOS ALCAPARROS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2 No. 7-04;8602765
228;CORTIMUEBLES;ALMACEN DE MUEBLES-ELECTRODOMESTICOS;47;COMERCIO AL POR MENOR;CRA. 7 NO. 72 - 64 OFC 202;5921414
229;CREACIONES ARLY MISCELANEA;MISCELÁNEA;47;COMERCIO AL POR MENOR;KM 4,5 LA CALERA SOPO;8605990
230;CREACIONES JENIFFER ;MISCELÁNEA;47;COMERCIO AL POR MENOR;VDA EL SALITRE KM 2 VIA LA CALERA;8609292
231;CRECER ARTESANOS COMERCIALIZADORA INTERNACIONAL LTDA;MISCELÁNEA;47;COMERCIO AL POR MENOR;AV PASEO REAL No 3-52;8757023
232;CREPS P&S GLOUMR+Q1;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CLL 7 No. 2B -34 LOCAL 201;
233;CROMAS S.A.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 3 No 8-09;8757145
234;CROSTINO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;BUENOS AIRES BAJO FINCA LA AURORA;3114823838
235;CUERNO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 5 No- 4 - 06;3118494751
236;CUERPO EN MOVIMIENTO;SPA;93; ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;CRA 18A No. 39A-68 BOGOTA D.C;2886100
237;CUNICULA LOS ALISOS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV. 2 No. 7 - 05;8742169
238;CUPEGAL;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VDA MUNDO NUEVO;3133263470
239;DAVICELL COMUNICACIONES;TELECOMUNICACIONES;61;TELECOMUNICACIONES;AV 2 No. 8-34 piso 2;
240;DAYANSPORT;ALMACEN;47;COMERCIO AL POR MENOR;KM 4 VDA SAN JOSE  FCA LOS ALISOS;8609141
241;DELICIAS CALERUNAS;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;K 3 No 5-18;8603753
242;DELICIAS CALERUNAS;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;C 6 No 4-43;3138164943-8602574
243;DELICIAS CAMPESINAS;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;C 6 No 4A -77 LOCAL 8;8603466
244;DELICIAS CAMPESINAS OLIVAR;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;PLAZA DE MERCADO KIOSCO  5;8752056
245;DELICIAS DE CASA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;PLAZA DE MERCADO LOCAL 5;
246;DELICIAS DEL CAMPO LA CALERA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AV 2 No 7-78 LOCAL 25;
247;DENTALESTHETICS J.V;CONSULTORIO ODONTOLOGICO;86;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA;CALLE 6 No. 3 - 19;8602952
248;DEPORTIVOS GLORIA STAR;ALMACEN;47;COMERCIO AL POR MENOR;CALLE 8 No. 7-48;3143915505
249;DEPOSITO DE MMATERIALES D & F;BODEGA;52;ALMACENAMIENTO Y ACTIVIDADES COMPLEMENTARIAS AL TRANSPORTE;CALLE 9 No. 2 - 02;3115993837
250;DEPOSITO DE PAPA;CENTROS DE ACOPIO;47;COMERCIO AL POR MENOR;C 10 No 3-04;8752026
251;DEPOSITO EL CHIGUANO;BODEGA;52;ALMACENAMIENTO Y ACTIVIDADES COMPLEMENTARIAS AL TRANSPORTE;C 9 ;3174602817
252;DESARROLLOS MINERALES AMBIENTALES;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KILOMETRO 1 VIA SOPO SECTOR LA PORTADA  LA CALERA;3114497336
253;DESCONT SA ESP;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 3 No 7-19;8601379
254;DESPERDICIO DE DESECHOS Y CHATARRA;BODEGA;52;ALMACENAMIENTO Y ACTIVIDADES COMPLEMENTARIAS AL TRANSPORTE;AV 2 No 5-13;8602643
255;DFH PROYECTOS Y CONSTRUCCIONES;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;CRA 2B 2 59;8600409
256;D'GLAMOUR;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;CARRERA 39 No. 51 - 39;6439999
257;DISEÑOS EN CUERO M.B;CONFECCION DE ROPA;14;CONFECCIÓN DE PRENDAS DE VESTIR;VEREDA LA PORTADA ;3132461825
258;DISEÑOS INDUSTRIALES;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 12 BIS No. 23 A 31;8263923
259;DISMACOL  S.A.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 5 No 4-06;3112296036
260;DISTRIBUIDORA  DE LACTEOS Y SALSAMENTARIA;ELABORACIÓN DE PRODUCTOS LACTEOS;10;ELABORACIÓN DE PRODUCTOS ALMINENTICIOS;CR 3 No 6-36;3115839183-8600373
261;DISTRIBUIDORA CENTRAL DE GAS S.A . E.S.P.;VENTA DE COMBUSTIBLE;47;COMERCIO AL POR MENOR;C 7 No 1-27;8600325
262;DISTRIBUIDORA DE BELLEZA (SHAMPUS);OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV QUITO No. 78-40 BOGOTA D.C;3118188
263;DISTRIBUIDORA DE MATERIALES LA PORTADA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 3 No. 2 - 13;3103338708
264;DISTRIBUIDORA ESCOBAR SANCHEZ LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 9 No 2 02 ;3118108433
265;DISTRIBUIDORA PLASTICOS Y DESECHABLES ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;DG 48 SUR 57-52  BOGOTA D.C;2305906
266;DISTRIBUIDORA, COMERCIALIZADORA EW EL TRIANGULO EU;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 4 No 7-57;8757514
267;DISTRICARNES DORITA;CARNICERIA;47;COMERCIO AL POR MENOR;KM 1,5 VIA SOPO;8603335
268;DISTRICARNES SANTA INES;CARNICERIA;47;COMERCIO AL POR MENOR;CRA 2 No 7-55 ;8601916
269;DIVIAL VIDRIOS J.P;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;CAR 2 ESTE No. 5 - 56;8603602
270;DOGS LIFE;VETERINARIA;75;ACTIVIDADES VETERINARIAS;CARRERA 4 No.  7 - 23;8602547
271;DOMIS CLUB;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;PLAZA DE MERCADO LOCAL 13;8602284
272;DON MILO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;av 2 No 8-15 local 8;8603266
273;DON PACHO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 5 No. 3-42;8602798
274;DONDE CONCHA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;EL HATO KM 7;8608044
275;DOÑA MARGARITA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 9 No 6-81;8601309
276;DROGUERIA ALFA LA CALERA;DROGUERIA ;47;COMERCIO AL POR MENOR;PLAZA DE MERCADO LOCAL 34;
277;DROGUERIA FARMAHOGAR LTDA;DROGUERIA ;47;COMERCIO AL POR MENOR;BUENOS AIRES LA EPIFANIA;8605641
278;DROGUERIA POPULAR;DROGUERIA ;47;COMERCIO AL POR MENOR;C 8 No. 2 - 08;8601678
279;DROGUERIA SUPEREXPRESS;DROGUERIA ;47;COMERCIO AL POR MENOR;PLAZA DE MERCADO LOCAL 18;8600165
280;DUITAMA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CRA 4 No. 6-33 ;8600186
281;DULCERIA LOS SAUCES;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;AV 2 No. 8 24;8752434
282;DULCES Y POSTRES;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;C 9 No 2A-18;8601256
283;EDIFICADORA GOMEZ S.A.;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;K 4 No 7-24;8600631
284;EDUCAR S.A- COLEGIO MUNDO MONTESSORI;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM 7,5 VIA LA CALERA DESPUES DEL PEAJE;3132041521
285;EFICACIA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 8 No 7-37 ;8757123
286;EL AQUELARRE (PLAZOLETA);RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;K 5 No 9-30;8752049
287;EL BAZAR DE LA CALERA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CALLE 70 N=. 7 - 53;4030404
288;EL BODEGON DE LA GRAN REBAJA;ALMACEN;47;COMERCIO AL POR MENOR;VDA EL LIBANO FCA ORQUIDEAS;8608158
289;EL BOQUERON;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV. 5 N 23 AN 35 CALI;4854242
290;EL BUEN GUSTO;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;C 6 No 3-39;8602064
291;EL BUEN GUSTO;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CLL 7 No. 2-97;8603865
292;EL CARRETERO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 7 No 2-87;8602597
293;EL CHIGUANO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;SAN JOSE LAS MERCEDES;320230654
294;EL CHIGUANO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VDA SANTA HELENA;8741723
295;EL ENCUENTRO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;PLAZA DE MERCADO LOCAL 33 ;8602979-3202707842
296;EL ESTANCO;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;C 7 CRA 1 VIA MUNDO NUEVO;8608173
297;EL GRAN CASTILLO Y PELDAÑOS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2 No 4-82;8751062
298;EL GUSANILLO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 5 No 2 16;8751062
299;EL KIOSCO;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AV 2 No 4-76;8600081/3112345276
300;EL MANANTIAL;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;C 8 BIS No 2A-02;8601434
301;EL PALACIO DEL SABOR;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;VDA EL HATO SECTOR PATIOS  KM 7;
302;EL PALMAR DEL CAFÉ;VENTA DE CAFÉ;47;COMERCIO AL POR MENOR;AV 2 No 6-26;3104844977
303;EL PALOMAR GALERIA ARTE CON SENTIDO;ARTE;90;ACTIVIDADES CREATIVAS, ARTISTICAS Y DE ENTRETENEMIENTO;KILOMETRO 10 VIA LA CALERA VEREDA EL SALITRE;8609067/3132800972
304;EL PORVENIR;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VEREDA SAN JOSE- FINCA LA MARIA;3125312178
305;EL PUNTO INGLES EVENTOS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VEREDA TREINTA Y SEIS ;8605256/3204137180
306;EL RAMAL;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 6 No 4-14;8601368
307;EL RINCON DE LAS GOLOSINAS;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;CARRERA 49 No. 15 - 31 SUR;8609742
308;EL SPA DE LA MOTO;SPA;93; ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;CARRERA 4 No. 4-54;3125477448
309;EL ZIPA;ARTE;90;ACTIVIDADES CREATIVAS, ARTISTICAS Y DE ENTRETENEMIENTO;KM 9 VIA LA CALERA;8609189
310;ELECTRICOS GAVILAN;ALMACEN DE MUEBLES-ELECTRODOMESTICOS;47;COMERCIO AL POR MENOR;KM 7 Vereda el Libano;8608173
311;ELECTRICOS SERINGELT;ALMACEN DE MUEBLES-ELECTRODOMESTICOS;47;COMERCIO AL POR MENOR;C 7a No. 8-26 Alto de La Virgen;8602956
312;ELECTRO ASOCIADOS RUEDA LTDA;ALMACEN DE MUEBLES-ELECTRODOMESTICOS;47;COMERCIO AL POR MENOR;AV 2 9 32;3103426405
313;EMANUEL;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VDA LA TOMA;
314;EMGESA SA ESP;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE5 No 2-12;8602540
315;EMMANUEL CARPINTERIA EBANISTERIA;CARPINTERIA;16;TRANSFORMACIÓN DE LA MADERA Y FABRICACION DE PRODUCTOS DE MADERA Y CORCHO;AV 2 No 2-06;8751339
316;EMPANADAS Y SALSAS;COMIDAS RAPIDAS;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AV 2 No. 2-02;8600194
317;EMPIRE BAR;BAR;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;LA PORTADA;8602611
318;EMPRESA CONSTRUCTORA  ANDINA ECOANDINA LTDA;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;CARRERA 111 No. 72 - 86 PISO 4;2190330
319;"EMPRESA DE SERVICIOS PUBLICOS DE LA CALERA ""ESPUCAL ESP"" ";OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;LA PORTADA;8602611
320;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A ESP;TELECOMUNICACIONES;61;TELECOMUNICACIONES;K 3 No 7-08;8600574
321;EN SU SALSA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2 No 8-47;8751353
322;ENERGIA EMPRESARIAL DE LA COSTA SA ESP;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 147 No. 7B -38 BOGOTA D.C;6264018
323;ENMARCARTES;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 5 No. 3-52;8600025
324;ENTIDAD PROMOTORA DE SALUD SANITAS S.A.;CONSULTORIO MEDICO;86;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA;CRA 8 No 20-56 PISO 9 BOGOTA;2422720
325;EQUICARIBE S.A.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 8 2B 16;3143634208
326;ESCUELE VIVE LA MUSICA;ARTE;90;ACTIVIDADES CREATIVAS, ARTISTICAS Y DE ENTRETENEMIENTO;CRA 2 No. 4A 08/14 ;8602215
327;ESTETICA CORPORAL Y FACIAL  RENACER;SPA;93; ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;CALLE 48 No. 14 - 39;2878475
328;ESTILO Y MODA;CONFECCION DE ROPA;14;CONFECCIÓN DE PRENDAS DE VESTIR;K 16 No 79-20 APTO 802 BOGOTA;6218593
329;ESTILOS Y TIJERAS;CONFECCION DE ROPA;14;CONFECCIÓN DE PRENDAS DE VESTIR;AVENIDA 2B No. 9-53;3204000055
330;ESTUDIOS FOTOMAC;FOTOGRAFIA;74;OTRAS ACTIVIDADES PROFESIONALES CIENTIFICAS Y TECNICAS;KM 10 VIA LA CALERA;3123744111
331;EXPENDIO DE CARNES;CARNICERIA;47;COMERCIO AL POR MENOR;VEREDA EL SALITRE ;3103228910
332;EXPENDIO DE CARNES;CARNICERIA;47;COMERCIO AL POR MENOR;K 3 No 8-47;8757545
333;EXPRESO DE LA SABANA SAS;TRANSPORTE DE PASAJEROS;49;"TRANSPORTE TERRESTRE; TRANSPORTE POR TUBERÍAS";C 4 No 7-21;3123045996
